Nome do Objeto,Variação do Objeto,Dia/Noite,Funções,Ambiente,Fundo,Tamanho (KB),Dimensão (pixels) (Largura x Altura),URL da Imagem
Caneca,1,dia,Original,in,7,2548.7,4080 x 3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca1-dia-in-fundo7.jpg
Caneca,1,dia,Original,in,8,2078.72,4080 x 3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca1-dia-in-fundo8.jpg
Caneca,1,dia,Original,in,9,1840.28,4080 x 3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca1-dia-in-fundo9.jpg
Caneca,1,dia,Original,out,11,2728.86,4080 x 3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca1-dia-out-fundo11.jpg
Caneca,1,dia,Original,out,12,2198.39,4080 x 3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca1-dia-out-fundo12.jpg
Caneca,1,dia,Original,out,13,3346.03,4080 x 3072,https://raw.githubusercontent.com/Luisa-Andrade/Visao-Computacional/main/banco-de-imagens/Caneca1-dia-out-fundo13.jpg
Caneca,1,dia,GrayScale,in,7,707.72,4080 x 3072,https://drive.google.com/uc?id=1ouYw0EHgl4qr5sXcbJeBJVBoLMZl9QoW&export=download
Caneca,1,dia,GrayScale,in,8,528.73,4080 x 3072,https://drive.google.com/uc?id=1UUV4fagDnLwFZ09zOfqy3PN9K_gBbubj&export=download
Caneca,1,dia,GrayScale,in,9,385.55,4080 x 3072,https://drive.google.com/uc?id=1bwfh7SIlzKA8nOufD8r4hUB4H5NknnQU&export=download
Caneca,1,dia,GrayScale,out,11,748.45,4080 x 3072,https://drive.google.com/uc?id=1zs7zukulgecPmcqYFu4TKHxF1w6FKbkt&export=download
Caneca,1,dia,GrayScale,out,12,568.29,4080 x 3072,https://drive.google.com/uc?id=1mQeETF4WvPM2vw65e-yHEs7JksJ6lmDW&export=download
Caneca,1,dia,GrayScale,out,13,1036.38,4080 x 3072,https://drive.google.com/uc?id=1lkWrvUfGMx0D51rasupa1-Zj2zVZhUyT&export=download
Caneca,1,dia,Gradiente GrayScale,out,11,1206.93,3072 x 4080,https://drive.google.com/uc?id=1xjm-HC-p1sFS7py0CmAB1p9r7REX4jt5&export=download
Caneca,1,dia,Gradiente GrayScale,out,13,1814.04,3072 x 4080,https://drive.google.com/uc?id=1RoIGJ_JzakYrsrCVDUTByYHd-INrdphg&export=download
Caneca,1,dia,Gradiente GrayScale,out,12,776.97,3072 x 4080,https://drive.google.com/uc?id=1TE3oOv6PxfltpILfD4oQJVNGvy4xDpgK&export=download
Caneca,1,dia,Gradiente GrayScale,in,7,1090.1,3072 x 4080,https://drive.google.com/uc?id=1J8hpiqrMU_F2q1QK4-FZ-3cV8I_jPLqQ&export=download
Caneca,1,dia,Gradiente GrayScale,in,9,638.63,3072 x 4080,https://drive.google.com/uc?id=1Lpv-8LDNXg2EdiJQPtz6MMuiiZazVuPA&export=download
Caneca,1,dia,Gradiente GrayScale,in,8,1009.4,3072 x 4080,https://drive.google.com/uc?id=1e1bMe6XAB4fNfsTlQjngIxlqSzZOsxHM&export=download
Caneca,1,dia,GrayScale Mean Filter,out,13,1512.55,3072 x 4080,https://drive.google.com/uc?id=1vK-34RrnIAlhrL66-rJavTRlZHbdn0gb&export=download
Caneca,1,dia,GrayScale Mean Filter,out,12,1024.71,3072 x 4080,https://drive.google.com/uc?id=1qdT_xoIS8Klvu01ZuwvkFx0C0SIxfZWN&export=download
Caneca,1,dia,GrayScale Mean Filter,out,11,1325.42,3072 x 4080,https://drive.google.com/uc?id=1LOdEjwulCIVzb9FSZy7AWBnDc0XTkY-D&export=download
Caneca,1,dia,GrayScale Mean Filter,in,9,752.62,3072 x 4080,https://drive.google.com/uc?id=1nl1UWM81FFX_pImwiDL4EDQpqbowCDIZ&export=download
Caneca,1,dia,GrayScale Mean Filter,in,8,1028.15,3072 x 4080,https://drive.google.com/uc?id=1_GT_25SVrAUUUFHHqaPo1hvV8LzuhW7p&export=download
Caneca,1,dia,GrayScale Mean Filter,in,7,1120.46,3072 x 4080,https://drive.google.com/uc?id=1orDnO49Ue3CyZd7hP-XPcBAwqv7UEMNr&export=download
Caneca,1,dia,GrayScale Exponential Transform,out,13,1952.7,3072 x 4080,https://drive.google.com/uc?id=126wsR86m923XLrwAkniza7gUfX0MOgkJ&export=download
Caneca,1,dia,GrayScale Exponential Transform,out,12,1271.04,3072 x 4080,https://drive.google.com/uc?id=1a5uV__0OATqJMiftns2nYdXIlqvEyfIo&export=download
Caneca,1,dia,GrayScale Exponential Transform,out,11,1518.12,3072 x 4080,https://drive.google.com/uc?id=1g268JuY3Hn4YOhPxAaip9pmAuuPi580y&export=download
Caneca,1,dia,GrayScale Exponential Transform,in,9,809.17,3072 x 4080,https://drive.google.com/uc?id=1ljzY9am8m9oCuWa3PLX-9pH-tjqpvSX7&export=download
Caneca,1,dia,GrayScale Exponential Transform,in,8,1065.22,3072 x 4080,https://drive.google.com/uc?id=1EG6PnlLtcTq1bKLi7DPc7gcjvERvo0QN&export=download
Caneca,1,dia,GrayScale Exponential Transform,in,7,1493.64,3072 x 4080,https://drive.google.com/uc?id=1RqpsFR3X8R0xrQX33dZZDYNWsZGJYzPP&export=download
Caneca,1,dia,GrayScale Log Transform,out,13,2116.49,3072 x 4080,https://drive.google.com/uc?id=1hCQ1ncp0FF9Z3nASWcsWxiomYq1bBJ3K&export=download
Caneca,1,dia,GrayScale Log Transform,out,12,1175.9,3072 x 4080,https://drive.google.com/uc?id=1a82aA1_Yd2QbPBrmNVFDkNp2c7rIj_2S&export=download
